Date,Statewide total,Oahu,Hawaii island,Maui,Kauai,Outside Hawaii
03/06/2020,0,0,0,0,0,0
03/07/2020,1,1,0,0,0,0
03/08/2020,0,0,0,0,0,0
03/09/2020,1,1,0,0,0,0
03/10/2020,2,1,0,1,0,0
03/11/2020,0,0,0,0,0,0
03/12/2020,1,1,0,0,0,0
03/13/2020,0,0,0,0,0,0
03/14/2020,2,0,0,0,2,0
03/15/2020,6,3,0,3,0,0
03/16/2020,4,3,0,1,0,0
03/17/2020,4,2,1,1,0,0
03/18/2020,8,6,1,1,0,0
03/19/2020,11,8,0,3,0,0
03/20/2020,16,15,0,0,1,0
03/21/2020,14,10,2,2,0,0
03/22/2020,9,6,0,3,0,0
03/23/2020,17,13,2,1,1,0
03/24/2020,21,17,1,3,0,0
03/25/2020,11,8,0,2,1,0
03/26/2020,17,15,0,2,0,0
03/27/2020,17,13,2,2,0,0
03/28/2020,33,21,5,1,6,0
03/29/2020,31,18,5,7,1,0
03/30/2020,29,25,0,4,0,0
03/31/2020,23,20,0,3,0,0
04/01/2020,33,29,2,2,0,0
04/02/2020,23,21,0,1,1,0
04/03/2020,27,18,2,5,2,0
04/04/2020,17,12,2,3,0,0
04/05/2020,15,9,0,5,1,0
04/06/2020,17,13,1,2,1,0
04/07/2020,24,19,1,3,1,0
04/08/2020,25,15,3,6,1,0
04/09/2020,13,7,0,6,0,0
04/10/2020,12,5,2,5,0,0
04/11/2020,18,5,3,10,0,0
04/12/2020,11,3,3,3,2,0
04/13/2020,5,1,2,2,0,0
04/14/2020,4,1,1,2,0,0
04/15/2020,10,8,0,2,0,0
04/16/2020,9,5,0,4,0,0
04/17/2020,9,5,3,1,0,0
04/18/2020,21,2,16,3,0,0
04/19/2020,8,3,2,3,0,0
04/20/2020,5,0,2,3,0,0
04/21/2020,4,0,2,2,0,0
04/22/2020,8,4,3,1,0,0
04/23/2020,6,3,1,2,0,0
04/24/2020,4,1,1,2,0,0
04/25/2020,4,3,0,1,0,0
04/26/2020,4,3,1,0,0,0
04/27/2020,1,0,0,1,0,0
04/28/2020,5,4,0,1,0,0
04/29/2020,5,4,0,1,0,0
04/30/2020,5,1,3,1,0,0
05/01/2020,4,4,0,0,0,0
05/02/2020,0,0,0,0,0,0
05/03/2020,3,1,1,1,0,0
05/04/2020,2,0,1,1,0,0
05/05/2020,4,3,0,1,0,0
05/06/2020,3,1,1,1,0,0
05/07/2020,2,2,0,0,0,0
05/08/2020,1,1,0,0,0,0
05/09/2020,3,1,0,2,0,0
05/10/2020,2,1,0,1,0,0
05/11/2020,3,2,1,0,0,0
05/12/2020,2,2,0,0,0,0
05/13/2020,2,2,0,0,0,0
05/14/2020,2,1,1,0,0,0
05/15/2020,0,0,0,0,0,0
05/16/2020,1,1,0,0,0,0
05/17/2020,6,4,2,0,0,0
05/18/2020,0,0,0,0,0,0
05/19/2020,3,2,1,0,0,0
05/20/2020,0,0,0,0,0,0
05/21/2020,5,1,3,1,0,0
05/22/2020,3,1,0,2,0,0
05/23/2020,2,1,0,1,0,0
05/24/2020,1,1,0,0,0,0
05/25/2020,0,0,0,0,0,0
05/26/2020,0,0,0,0,0,0
05/27/2020,1,0,0,1,0,0
05/28/2020,2,2,0,0,0,0
05/29/2020,4,4,0,0,0,0
05/30/2020,5,5,0,0,0,0
05/31/2020,0,0,0,0,0,0
06/01/2020,0,0,0,0,0,0
06/02/2020,1,1,0,0,0,0
06/03/2020,1,1,0,0,0,0
